Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-AgainstMyReligion,0.0023,3.05,"15,448"
Main-ColorCodedPatrician,0.0023,3.05,"23,032"
Main-NastyParty,0.0023,2.98,"28,804"
Main-GloriousLeader,0.0023,3.03,"19,732"
Main-BribeBackfire,0.0023,3.09,"25,124"
Main-RetiredGunfighter,0.0023,3.13,"24,862"
Main-MoralityKitchenSink,0.0023,3.10,"6,275"
Main-EvilVersusOblivion,0.0023,2.98,"8,222"
Main-ICanRuleAlone,0.0023,3.03,"7,760"
Main-TakeItToTheBridge,0.0023,3.12,"8,035"
Main-NiceGuysFinishLast,0.0023,3.10,"18,235"
Main-MookCarryover,0.0023,3.03,"2,744"
Main-GodIsFlawed,0.0023,3.20,"25,133"
Main-FreakyFashionMildMind,0.0023,3.01,"15,141"
Main-InterrogationByVandalism,0.0022,3.03,"34,374"
Main-GunStruggle,0.0022,3.19,"6,148"
Main-SelfishGoodSelfishEvil,0.0022,2.95,"10,253"
Main-NotVeryPrettyNowIsHe,0.0022,2.96,"18,554"
Main-StupidNeutral,0.0022,3.17,"4,654"
Main-ShouldHaveThoughtOfThatBeforeX,0.0022,3.35,512
Main-NegateYourOwnSacrifice,0.0022,3.12,"2,197"
Main-ClosestThingWeGot,0.0022,3.04,"15,481"
Main-RogueAgent,0.0022,3.17,"5,581"
Main-ConscienceMakesYouGoBack,0.0022,3.16,"7,790"
Main-BaddieFlattery,0.0022,3.08,"5,012"
Main-RealMenLoveJesus,0.0022,3.12,"14,023"
Main-FriendInTheBlackMarket,0.0022,3.11,"6,953"
Main-FeelingOppressedByTheirExistence,0.0022,3.05,"28,641"
Main-ThinkHappyThoughts,0.0022,3.03,"16,021"
Main-IdiotHoudini,0.0022,3.11,"5,343"
Main-SuicidalPacifism,0.0022,3.09,"11,127"
Main-CloseToHome,0.0022,3.24,"7,505"
Main-TheWorldsExpertOnGettingKilled,0.0022,3.13,"4,962"
Main-HellYesMoment,0.0022,3.09,"6,277"
Main-FantasticCatholicism,0.0022,3.04,"32,694"
Main-YouShouldHaveDiedInstead,0.0022,3.18,"6,785"
Main-HellholePrison,0.0022,3.09,"66,530"
Main-ThirdActMisunderstanding,0.0022,3.22,"5,927"
Main-SpyVersusSpy,0.0022,3.14,"11,965"
Main-CollidingCriminalConspiracies,0.0022,3.07,"36,079"
Main-TheSvengali,0.0022,3.06,"9,902"
Main-OminousOperaCape,0.0022,2.97,"15,691"
Main-WhoWillBellTheCat,0.0022,3.28,"2,839"
Main-KillUsBoth,0.0022,3.12,"3,569"
Main-RescuedFromPurgatory,0.0022,3.19,"2,376"
Main-BiblicalBadGuy,0.0022,3.14,"4,797"
Main-WhoWatchesTheWatchmen,0.0022,3.09,"11,327"
Main-HowDidYouKnowIDidnt,0.0022,3.04,"22,389"
Main-GenericEthnicCrimeGang,0.0022,3.12,"10,272"
Main-MakeWayForTheNewVillains,0.0022,3.08,"7,737"
Main-JesusSaves,0.0022,3.14,"11,608"
Main-AFoolForAClient,0.0022,3.16,"7,814"
Main-MayorOfAGhostTown,0.0022,3.04,"13,712"
Main-SneakyDeparture,0.0022,3.24,"14,627"
Main-BothSidesHaveAPoint,0.0022,3.09,"28,232"
Jerkass-VideoGames,0.0021,2.93,"11,046"
Main-TheSpook,0.0021,2.98,"14,859"
Main-AllianceMeter,0.0021,3.26,"2,289"
Main-CavalierCompetitor,0.0021,3.14,"73,735"
Main-BigSleep,0.0021,3.13,"4,942"
Main-IfYouTauntHimYouWillBeJustLikeHim,0.0021,3.18,"3,446"
Main-NonActionBigBad,0.0021,2.97,"6,035"
Main-PlanetOfCopyhats,0.0021,3.14,"5,051"
Main-EasyRoadToHell,0.0021,3.18,"9,996"
Main-MusicForCourage,0.0021,3.00,"14,956"
Main-ExploringTheEvilLair,0.0021,3.09,"7,579"
Main-ReluctantRuler,0.0021,3.17,"6,878"
Main-AllIsWellThatEndsWell,0.0021,2.98,"35,110"
Main-PinkertonDetective,0.0021,3.08,"17,047"
Main-TorturedAbomination,0.0021,3.08,"6,792"
Main-NaziNobleman,0.0021,3.14,"8,258"
Main-DelayingAction,0.0021,3.31,"2,004"
Main-DontSplitUsUp,0.0021,3.07,"20,744"
Main-Mangst,0.0021,2.92,"25,100"
Main-TheFagin,0.0021,3.13,"9,016"
Main-TacticalWithdrawal,0.0021,3.20,"7,080"
Main-SlippedTheRopes,0.0021,3.26,"1,499"
Main-DefectorFromCommieLand,0.0021,3.19,"8,188"
Main-JapaneseChristian,0.0021,3.17,"110,409"
Main-CrimeTimeTV,0.0021,3.19,"14,512"
Main-HalfheartedHenchman,0.0021,3.18,"1,483"
Main-SlidingScaleOfFreeWillVsFate,0.0021,2.94,"48,896"
Main-HonorRelatedAbuse,0.0021,3.11,"7,890"
Main-VillainCred,0.0021,3.13,718
Main-SugaryMalice,0.0021,3.13,"6,164"
Main-StrollingThroughTheChaos,0.0021,3.07,"4,786"
Main-VillainyFreeVillain,0.0021,2.98,"65,699"
Main-VampireVannabe,0.0021,2.91,"43,441"
Main-HaveIMentionedIAmADwarfToday,0.0021,3.25,"4,753"
Main-MisplacedRetribution,0.0021,3.19,"7,242"
Main-FondMemoriesThatCouldHaveBeen,0.0021,3.21,"2,409"
Main-MirrorMonster,0.0021,3.15,"17,852"
Main-WhoNeedsEnemies,0.0021,3.16,"1,406"
Main-ScreeningTheCall,0.0021,2.99,"11,091"
Main-MyFistForgivesYou,0.0021,2.96,"13,600"
Main-PopulationControl,0.0021,3.08,"40,148"
Main-BigBrotherIsEmployingYou,0.0021,3.11,"8,089"
Main-CharacterWitness,0.0021,3.01,"16,042"
Main-DeadlyDistantFinale,0.0021,3.23,"5,499"
Main-SixIsNine,0.0021,3.19,"6,950"
Main-GutPunch,0.0020,3.05,"7,896"
Main-SpyFromWeightsAndMeasures,0.0020,3.02,"19,510"
Main-PlotMandatedFriendshipFailure,0.0020,3.29,"34,045"
Main-ShrineToSelf,0.0020,3.06,"13,191"
Main-Anti-HumanAlliance,0.0020,3.08,"12,668"
Main-PeacefulInDeath,0.0020,3.24,"4,219"
Main-YouWouldDoTheSameForMe,0.0020,3.09,"3,333"
Main-GermanicEfficiency,0.0020,3.02,"26,305"
Jerkass-WesternAnimation,0.0020,2.99,"5,404"
Main-InternalRetcon,0.0020,3.10,"11,511"
Main-IAmNotMyFather,0.0020,3.15,"30,717"
Main-CantStopTheSignal,0.0020,3.11,"14,347"
Main-SpaceCossacks,0.0020,3.29,"1,234"
Main-EmergencyPresidentialAddress,0.0020,3.21,"3,417"
Main-EasilyDistractedReferee,0.0020,3.21,"30,061"
Main-NotAfraidOfYouAnymore,0.0020,2.92,"32,208"
Main-GiveMeASign,0.0020,3.07,"8,910"
Main-PhonyVeteran,0.0020,3.01,"15,359"
Main-MenaceDecay,0.0020,3.15,"7,463"
Main-NoYouHangUpFirst,0.0020,3.25,"1,313"
Main-TheNeedsOfTheMany,0.0020,3.12,"4,794"
Main-ReligionRantSong,0.0020,3.17,"13,124"
Main-BitPartBadguys,0.0020,3.07,"33,890"
Main-SaltTheEarth,0.0020,3.20,"5,842"
Main-LostInACrowd,0.0020,3.02,"18,053"
Main-KnifeFight,0.0020,2.95,"22,978"
Main-SmugStraightEdge,0.0020,3.34,"4,901"
Main-BattleInterruptingShout,0.0020,3.12,"6,028"
Main-WastefulWishing,0.0020,3.15,"2,656"
Main-OutsideManInsideMan,0.0020,3.11,"3,423"
Main-IRegretNothing,0.0020,3.00,"13,486"
Main-AlwaysGetsHisMan,0.0020,3.03,"32,323"
Main-DudleyDoRightStopsToHelp,0.0020,3.14,"6,620"
Main-InescapableNet,0.0020,3.06,"6,742"
Main-CreepyAwesome,0.0020,2.89,"17,491"
Main-GetIntoJailFree,0.0020,3.06,"32,880"
Main-ChildrenForcedToKill,0.0020,3.00,"13,840"
Main-TheOathBreaker,0.0020,3.16,"4,230"
Main-DesignatedEvil,0.0019,3.06,"3,265"
Main-StraightEdgeEvil,0.0019,2.98,"35,728"
Main-ArmyOfTheAges,0.0019,3.28,"2,278"
Main-NotProven,0.0019,3.27,"1,389"
Main-MiddleManagementMook,0.0019,3.24,"1,354"
Main-CommonRanks,0.0019,3.21,"11,612"
Main-SelflessWish,0.0019,3.02,"14,803"
Main-InternalReveal,0.0019,2.96,"17,394"
Main-TortureFirstAskQuestionsLater,0.0019,3.35,"2,021"
Main-AgreeToDisagree,0.0019,3.20,"4,646"
Main-YoungConqueror,0.0019,3.02,"7,364"
Main-LittleHeroBigWar,0.0019,3.01,"14,722"
Main-LightheartedRematch,0.0019,3.05,"7,208"
Main-HollywoodSatanism,0.0019,3.07,"24,763"
Main-StrongerSibling,0.0019,3.24,"1,338"
Main-DisconnectedByDeath,0.0019,3.04,"26,741"
Jerkass-WebOriginal,0.0019,3.05,"11,001"
Jerkass-Others,0.0019,3.21,"1,316"
Jerkass-LiveActionTV,0.0019,2.98,"9,725"
Jerkass-Literature,0.0019,3.17,"2,981"
Jerkass-Film,0.0019,3.05,"14,495"
Jerkass-ComicBooks,0.0019,3.17,"1,101"
Jerkass-Anime,0.0019,3.05,"3,279"
Main-ShippedInShackles,0.0019,3.09,"7,254"
Main-InformedWrongness,0.0019,2.99,"10,768"
Main-AtLeastIAdmitIt,0.0019,3.04,"9,364"
Main-ShootHimHeHasAWallet,0.0019,3.12,"20,067"
Main-GraspTheSun,0.0019,3.07,"12,779"
Main-LadyAndKnight,0.0019,3.00,"10,733"
Main-OutOfSightOutOfMind,0.0019,3.17,"1,953"
Main-TakingOverTheTown,0.0019,3.17,"13,841"
Main-SalvagePirates,0.0019,3.23,"9,221"
Main-ArmyOfThievesAndWhores,0.0019,3.16,"5,092"
Main-NotSoOmniscientCouncilOfBickering,0.0019,3.13,"6,021"
Main-HeadbuttingHeroes,0.0019,3.14,"5,248"
Main-GunpointBanter,0.0019,3.08,"8,495"
Main-OnlyTheKnowledgableMayPass,0.0019,3.32,"1,426"
Main-WeWouldHaveToldYouBut,0.0019,3.20,"11,750"
Main-TwoRightsMakeAWrong,0.0019,3.15,"5,123"
Main-StrangersOnATrainPlotMurder,0.0019,3.19,"12,648"
Main-DraftDodging,0.0019,3.15,"9,575"
Main-SomeoneHasToDoIt,0.0018,3.10,"5,288"
Main-CaughtOnTape,0.0018,3.07,"9,322"
Main-IrishPriest,0.0018,3.19,"31,932"
Main-GoodIsNotSoft,0.0018,3.07,977
Main-KidnappedScientist,0.0018,3.07,"2,030"
Main-OnlyTheLeadsGetAHappyEnding,0.0018,3.12,"5,126"
Main-GodIsInept,0.0018,3.21,"4,670"
Main-LuredIntoATrap,0.0018,3.09,"5,023"
Main-WhereDidWeGoWrong,0.0018,3.22,"3,714"
Main-CurbstompCushion,0.0018,3.18,"1,719"
Main-NoSneakAttacks,0.0018,3.25,860
Main-ImpossibleInsurance,0.0018,3.17,"4,068"
Main-TroubledSympatheticBigot,0.0018,3.11,"44,004"
Main-PartlyCloudyWithAChanceOfDeath,0.0018,3.14,"19,885"
Main-StoryboardBody,0.0018,3.07,"16,625"
Main-WouldYouLikeToHearHowTheyDied,0.0018,3.12,"2,081"
Main-SpareToTheThrone,0.0018,3.13,"6,622"
Main-UnEvilLaugh,0.0018,3.11,"2,513"
Main-IOwnThisTown,0.0018,3.18,"11,438"
Main-LandslideElection,0.0018,3.12,"10,877"
Main-InvincibleVillain,0.0018,3.00,"11,250"
Main-IShowedHerWhatARealManIs,0.0018,3.10,"6,309"
Main-HeWentThatWay,0.0018,3.03,"13,243"
Main-UndefeatableLittleVillage,0.0018,3.21,"1,387"
Main-TheWarToEndAllWars,0.0018,3.27,"3,304"
Main-DetectivePatsy,0.0018,3.23,"4,742"
Main-FailureToSaveMurder,0.0018,3.02,"11,833"
Main-ChildrenAreAWaste,0.0018,3.30,"13,982"
Main-DuelOfSeduction,0.0018,3.13,"10,656"
Main-BalanceOfPower,0.0018,3.34,"1,713"
Main-ConsummateProfessional,0.0018,3.06,"8,736"
Main-TokenEnemyMinority,0.0018,3.17,"4,547"
Main-OriginalPositionFallacy,0.0018,3.21,"5,502"
Main-PlethoraOfMistakes,0.0018,3.33,"18,410"
Main-KneelBeforeFrodo,0.0018,3.25,"3,847"
Main-CosmicChessGame,0.0018,2.93,"11,085"
Main-SeekerArchetype,0.0018,3.10,"16,466"
Main-HappilyFailedSuicide,0.0018,3.28,"2,731"
Main-CollectiveIdentity,0.0018,3.04,"27,381"
Main-TheEasyWayOrTheHardWay,0.0018,3.19,"7,731"
Main-TheQuincyPunk,0.0018,3.11,"18,650"
Main-SchiffOneLiner,0.0018,3.31,"1,146"
Main-TheDeadHaveNames,0.0018,3.11,"6,668"
Main-FatherIDontWantToFight,0.0018,3.18,"1,364"
Main-Unishment,0.0017,3.13,"8,436"
Main-RaiseHimRightThisTime,0.0017,3.20,"2,058"
Main-NeverRecycleYourSchemes,0.0017,3.16,"3,348"
Main-PreemptiveApology,0.0017,3.13,"4,008"
Main-OneLinerEcho,0.0017,3.19,"4,443"
Main-KarmaHoudiniWarranty,0.0017,3.06,"16,001"
Main-NecessaryFail,0.0017,3.02,"25,725"
Main-StandingBetweenTheEnemies,0.0017,3.15,"5,451"
Main-LastStarfighter,0.0017,3.20,"1,988"
Main-Wide-EyedIdealist,0.0017,2.88,"40,565"
Main-PelagianVillain,0.0017,3.06,"8,310"
Main-InvasionOfTheBabySnatchers,0.0017,2.98,"11,047"
Main-StopOrIWillShoot,0.0017,3.00,"19,105"
Main-MotiveMisidentification,0.0017,3.13,"2,708"
Main-TheBlackDeath,0.0017,3.28,"7,706"
Main-PiggybackingOnHitler,0.0017,3.25,"1,555"
Main-CryingLittleKid,0.0017,3.04,"11,496"
Main-PrecursorKillers,0.0017,3.22,"1,292"
Main-SatisfiedStreetRat,0.0017,3.12,"6,943"
Main-LesserOfTwoEvils,0.0017,3.47,"4,685"
Main-ExecutiveSuiteFight,0.0017,3.08,"10,846"
Main-HowToStopTheDeusExMachina,0.0017,2.98,"27,807"
Main-ShockCollar,0.0017,3.14,"9,696"
Main-FidelityTest,0.0017,3.20,"3,682"
Main-PhotoOpWithTheDog,0.0017,3.13,"11,862"
Main-HumanChess,0.0017,3.12,"58,482"
Main-Yubitsume,0.0017,3.16,"5,993"
Main-WinYourFreedom,0.0017,3.19,"8,569"
Main-DoubleCaper,0.0017,3.29,"4,511"
Main-HonestCorporateExecutive,0.0017,3.07,"10,834"
Main-CosmicComicStory,0.0017,3.12,"1,996"
Main-ThatsAnOrder,0.0017,2.98,"13,600"
Main-BrokenSmile,0.0017,3.07,"8,545"
Main-Realpolitik,0.0017,3.36,"2,531"
Main-GoodLawyersGoodClients,0.0017,3.21,"16,205"
Main-KingOnHisDeathbed,0.0017,3.16,"3,569"
Main-BibleTimes,0.0017,3.17,"21,965"
Main-DietEpisode,0.0017,3.17,"5,512"
Main-TheBadGuysAreCops,0.0017,3.14,"8,156"
Main-HumblePie,0.0017,3.25,"2,352"
Main-HellIsWar,0.0017,3.12,"2,783"
Main-NotSoWeak,0.0017,3.14,"5,315"
Main-TheEndIsNigh,0.0017,3.15,"4,773"
Main-TrainingAccident,0.0017,3.18,"6,751"
Main-GiveMeLibertyOrGiveMeDeath,0.0017,3.32,"1,552"
Main-PermanentElectedOfficial,0.0017,3.19,"2,514"
Main-ConvenientTerminalIllness,0.0017,3.28,"1,405"
Main-ConnectTheDeaths,0.0017,2.96,"25,404"
Main-TheWrongfulHeirToTheThrone,0.0016,3.18,"3,510"
Main-DoWithHimAsYouWill,0.0016,3.09,"4,543"
Main-ConvenientEclipse,0.0016,3.12,"6,191"
Main-HeroSyndrome,0.0016,3.24,"2,031"
Main-HeroicFatigue,0.0016,3.08,"2,535"
Main-DisguisedHostageGambit,0.0016,3.04,"15,083"
Main-ReligiousStereotype,0.0016,3.17,"9,040"
Main-TheCommiesMadeMeDoIt,0.0016,3.10,"2,375"
Main-EagleSquadron,0.0016,3.34,"1,836"
Main-PostHistoricalTrauma,0.0016,3.06,"3,181"
Main-WithholdingTheCure,0.0016,3.08,"20,836"
Main-CorporalPunishment,0.0016,3.34,"2,586"
Main-OrderliesAreCreeps,0.0016,3.24,"6,268"
Main-ForgotToFeedTheMonster,0.0016,3.12,"3,806"
Main-SurprisinglyEliteCannonFodder,0.0016,3.23,"1,332"
Main-PretenderDiss,0.0016,3.08,"8,279"
Main-MysteriousBacker,0.0016,3.10,"4,329"
Main-VastBureaucracy,0.0016,3.16,"6,694"
Main-LoserSonOfLoserDad,0.0016,3.07,"6,454"
Main-SpaceColdWar,0.0016,3.31,"7,354"
Main-OneWayTrip,0.0016,3.08,"10,230"
Main-BastardlySpeech,0.0016,3.10,"10,572"
Main-PaperTiger,0.0016,3.17,"3,917"
Main-NebulousCriminalConspiracy,0.0016,3.17,"2,096"
Main-RoyalDecree,0.0016,3.27,"3,200"
Main-LoveRuinsTheRealm,0.0016,3.06,"23,107"
Main-TheGameNeverStopped,0.0016,3.07,"13,129"
Main-EinsteinSue,0.0016,3.34,"2,407"
Main-ScrewTheRulesIHaveANuke,0.0016,3.08,"7,357"
Main-AfricanTerrorists,0.0016,3.22,"5,736"
Main-TimeToStepUpCommander,0.0016,3.29,"1,480"
Main-HopeSpringsEternal,0.0016,3.06,"15,870"
Main-SickbedSlaying,0.0016,3.11,"5,029"
Main-IsThatAThreat,0.0016,3.20,"5,878"
Main-ObstacleExposition,0.0016,3.12,"7,122"
Monster-VideoGames,0.0016,2.81,"17,089"
Main-TakingUpTheMantle,0.0016,3.18,"7,073"
Main-KarmicJackpot,0.0016,3.16,"4,575"
Main-ThePeterPrinciple,0.0016,3.29,"23,993"
Main-MirandaRights,0.0016,3.11,"35,503"
Main-IAmHeAsYouAreHe,0.0016,3.09,"21,936"
Main-CurseIsFoiledAgain,0.0016,3.14,"4,398"
Main-HellOfAHeaven,0.0016,3.22,"103,472"
Main-FascistButInefficient,0.0016,2.97,"22,695"
Main-HauledBeforeASenateSubCommittee,0.0016,3.16,"5,268"
Main-MoreCriminalsThanTargets,0.0015,3.11,"10,176"
Main-ConvenientlyCellmates,0.0015,3.28,"2,076"
Main-JustEatTheMacGuffin,0.0015,3.00,"16,698"
Main-ExpositionVictim,0.0015,3.37,"1,071"
Main-HiredToHuntYourself,0.0015,3.05,"13,260"
Main-ShotAtDawn,0.0015,3.29,"11,553"
Main-WeCare,0.0015,3.09,"36,709"
Main-JustDesserts,0.0015,3.10,"6,213"
Main-StillTheLeader,0.0015,3.12,"5,329"
Main-JesusWasCrazy,0.0015,3.21,"7,589"
Main-IgnorantOfTheirOwnIgnorance,0.0015,3.19,"4,660"
Main-WeNeedToGetProof,0.0015,3.04,"15,730"
Main-MusicalTrigger,0.0015,3.07,"11,217"
Main-SuperStoicShopkeeper,0.0015,3.23,"1,172"
Main-GalleySlave,0.0015,3.24,"7,646"
Main-WithGreatPowerComesGreatPerks,0.0015,3.13,"3,837"
Main-IJustWantToBeFree,0.0015,3.08,"24,133"
Main-BeatTheCurseOutOfHim,0.0015,3.12,"4,466"
Main-BindingAncientTreaty,0.0015,3.24,"4,658"
Monster-WesternAnimation,0.0015,2.95,"6,318"
Monster-Literature,0.0015,2.79,"94,295"
Main-AirstripOne,0.0015,3.11,"11,839"
Main-SingleLineOfDescent,0.0015,3.09,"6,960"
Main-ProveIAmNotBluffing,0.0015,3.26,"1,947"
Main-AtonementDetective,0.0015,3.32,"1,623"
Main-UndergroundRailroad,0.0015,3.20,"6,003"
Main-PityingPerversion,0.0015,3.11,"12,050"
Main-OutscareTheEnemy,0.0015,3.12,"4,436"
Main-BackstabbingTheAlphaBitch,0.0015,3.08,"3,866"
Main-WeDidntStartTheFuhrer,0.0015,3.03,"7,283"
Main-ConfessToALesserCrime,0.0015,3.31,"8,401"
Main-PlayingTheVictimCard,0.0015,3.19,"2,569"
Monster-LiveActionTV,0.0015,2.82,"10,049"
Monster-Film,0.0015,2.82,"56,783"
Monster-ComicBooks,0.0015,2.97,"4,613"
Main-CuriosityCausesConversion,0.0015,3.20,"1,379"
Main-WeMeetAgain,0.0015,3.16,"2,075"
Main-Touche,0.0015,3.43,"1,409"
Main-BookEmDanno,0.0015,3.21,"10,672"
Main-TheSavageIndian,0.0015,3.08,"29,658"
Main-SuperheroParadox,0.0014,3.01,"2,807"
Main-CourtMage,0.0014,3.14,"4,988"
Main-WithOrWithoutYou,0.0014,3.16,"4,199"
Main-YouKnowWhatTheySayAboutX,0.0014,3.23,"1,602"
Main-GreatWayToGo,0.0014,3.07,"4,995"
Main-MandatoryUnretirement,0.0014,3.29,"4,286"
Main-YouKeepTellingYourselfThat,0.0014,3.20,"1,919"
Main-RunningBothSides,0.0014,3.09,"3,780"
Main-DontAnswerThat,0.0014,3.31,650
Main-NoPointsForNeutrality,0.0014,3.09,"2,294"
Main-TheRestShallPass,0.0014,3.13,"3,162"
Main-TrialByFriendlyFire,0.0014,3.00,"5,907"
Main-AbominationAccusationAttack,0.0014,3.24,"13,369"
Main-OceanMadness,0.0014,3.21,"4,446"
Main-WorthLivingFor,0.0014,3.01,"6,803"
Main-FieryCoverup,0.0014,3.20,"6,176"
Main-TheGroup,0.0014,3.05,"12,203"
Main-PutMeInCoach,0.0014,3.30,"2,756"
Main-OfficeSports,0.0014,3.28,"7,379"
Main-EvilOrphan,0.0014,3.12,"5,308"
Main-IAmNotAGun,0.0014,3.11,"8,274"
Main-GoalInLife,0.0014,3.12,"28,411"
Main-NobodyHereButUsBirds,0.0014,3.02,"11,070"
Main-IThoughtItWasForbidden,0.0014,3.05,"7,324"
Main-KillTheGod,0.0014,3.04,"9,330"
Main-PromiseMeYouWontX,0.0014,3.14,"3,695"
Main-NoHonorAmongThieves,0.0014,3.03,"9,367"
Main-HospitalityForHeroes,0.0014,3.12,"8,196"
Main-YouOweMe,0.0014,3.17,"1,834"
Main-AssassinOutclassin,0.0014,3.09,"9,680"
Main-SelfImmolation,0.0014,3.20,"3,046"
Main-IShallReturn,0.0014,3.32,"1,262"
Main-ParentalBetrayal,0.0014,3.17,"2,366"
Main-TheComputerShallTauntYou,0.0014,3.19,"2,016"
Main-PerspectiveReversal,0.0014,3.14,"28,409"
Main-BecauseImGoodAtIt,0.0014,3.23,"3,602"
Main-JanitorImpersonationInfiltration,0.0014,3.04,"12,194"
Main-EpilogueLetter,0.0014,3.03,"8,534"
Main-InconvenientHippocraticOath,0.0014,3.29,"1,283"
Main-CodeSilver,0.0014,3.28,"6,794"
Main-ForgotICouldChangeTheRules,0.0013,3.27,582
Main-HelpingWouldBeKillstealing,0.0013,3.07,"6,074"
Main-TheAntagonist,0.0013,3.62,"2,083"
Main-HappyEndingOverride,0.0013,2.85,"20,662"
Main-TheTeamWannabe,0.0013,3.34,"1,862"
Main-IsItAlwaysLikeThis,0.0013,3.13,"27,642"
Main-ArrestedForHeroism,0.0013,2.97,"12,357"
Main-INeedYouStronger,0.0013,3.01,"8,664"
Main-TheGeneralissimo,0.0013,3.12,"11,697"
Main-PostClimaxConfrontation,0.0013,3.10,"4,486"
Main-DuelingScar,0.0013,3.23,"3,230"
Main-TheGunfighterWannabe,0.0013,3.14,"19,479"
Main-TheAdjectivalMan,0.0013,3.10,"5,240"
Main-ExpositionCut,0.0013,3.11,"3,606"
Main-BetterLivingThroughEvil,0.0013,3.07,"3,509"
Main-RealEstateScam,0.0013,3.30,"5,080"
Main-BreakingOutTheBoss,0.0013,3.16,"1,716"
Main-DepravedDwarf,0.0013,3.23,"52,624"
Main-StandardRedshirtProcedure,0.0013,2.99,"10,246"
Main-OrderReborn,0.0013,3.03,"11,294"
Main-CadreOfForeignBodyguards,0.0013,3.12,"2,368"
Main-InnocenceLost,0.0013,3.18,"7,525"
Main-CutAndPasteNote,0.0013,3.10,"2,494"
Main-CaperRationalization,0.0013,3.18,"5,792"
Main-TrialOfTheMysticalJury,0.0013,3.05,"4,230"
Main-SelfProclaimedLiar,0.0013,3.16,"4,632"
Main-ReadingYourRights,0.0013,3.41,"3,572"
Main-VictoriousLoser,0.0013,3.05,"12,189"
Main-BathSuicide,0.0013,3.16,"7,512"
Main-PsychoPsychologist,0.0013,2.96,"37,921"
Main-CantKillYouStillNeedYou,0.0013,3.23,889
Main-HuddleShot,0.0013,3.17,"12,461"
Main-HuntingAccident,0.0013,3.22,"4,383"
Main-GraveMarkingScene,0.0013,3.15,"3,601"
Main-Franks2000InchTV,0.0013,3.16,"5,103"
Main-PoisonIsEvil,0.0013,3.12,"3,319"
Main-IWillFightNoMoreForever,0.0013,3.12,"19,699"
Main-LifeWillKillYou,0.0013,3.01,"15,955"
Main-SoldiersAtTheRear,0.0013,3.23,"16,836"
Main-TheAntiNihilist,0.0013,3.11,"3,685"
Main-UltimateAuthorityMayor,0.0013,3.24,"9,082"
Main-CircleOfFriendship,0.0013,3.24,"1,368"
Main-FalseCrucible,0.0013,3.30,"3,405"
Main-VelvetRevolution,0.0013,3.17,"2,996"
Main-DeusExHomine,0.0013,3.08,"29,206"
Main-AbsurdlyCoolCity,0.0012,3.12,"1,580"
Main-InterrogatedForNothing,0.0012,3.20,"1,247"
Main-WarArc,0.0012,3.22,"1,081"
Main-DeathFic,0.0012,3.02,"26,944"
Main-AllNationsAreSuperpowers,0.0012,3.30,"6,807"
Main-IrrelevantImportance,0.0012,3.34,636
Main-PrisonerExchange,0.0012,3.14,"2,603"
Main-TreacherousQuestGiver,0.0012,2.87,"14,824"
Main-NaughtyIsGood,0.0012,3.17,"7,421"
Main-HeavenSeeker,0.0012,3.26,"3,389"
Main-HippieJesus,0.0012,3.25,"3,661"
Main-DefaultToGood,0.0012,3.06,"6,574"
Main-ThwartedCoupDeGrace,0.0012,3.14,"2,069"
Main-VillainAntagonist,0.0012,3.51,702
Main-RevengeMyopia,0.0012,3.30,932
Main-FreudianThreat,0.0012,3.42,942
Main-EarthIsYoung,0.0012,3.02,"8,881"
Main-TheRat,0.0012,3.14,"1,745"
Main-UndercoverCopReveal,0.0012,3.10,"18,889"
Main-SoftspokenSadist,0.0012,3.18,"1,360"
Main-HowWouldYouLikeToDie,0.0012,3.23,910
Main-BathroomBreakOut,0.0012,3.09,"15,548"
Main-FalseRoulette,0.0012,3.18,"8,584"
Main-DoesNotKnowHowToSayThanks,0.0012,3.22,914
Main-ForeignMoneyIsProofOfGuilt,0.0012,3.14,"4,853"
Main-ObstructiveZealot,0.0012,3.23,"1,991"
Main-RailroadBaron,0.0012,3.31,"2,347"
Main-ScaryAmoralReligion,0.0012,3.13,"3,386"
Main-MilitarySuperhero,0.0012,3.23,"1,567"
Main-HolyHitman,0.0012,3.35,873
Main-BloodOnTheDebateFloor,0.0012,3.14,"40,271"
Main-SerialKillingsSpecificTarget,0.0012,3.28,"6,743"
LargeHam-Others,0.0012,3.17,"2,545"
Main-RoomDisservice,0.0012,3.20,"4,638"
Main-HelplessGoodSide,0.0012,3.09,"4,761"
Main-FakinMacGuffin,0.0012,3.17,"4,932"
Main-RemovingTheEarpiece,0.0012,3.12,"10,170"
Main-BrotherhoodOfEvil,0.0012,3.14,"2,861"
Main-LeastIsFirst,0.0012,3.16,"2,828"
Main-DawnAttack,0.0012,3.55,588
Main-ToKnowHimIMustBecomeHim,0.0012,2.98,"10,074"
Main-ReligionIsWrong,0.0012,3.08,"14,280"
Main-GuiltByCoincidence,0.0012,3.18,"3,428"
Main-RankUp,0.0012,3.10,"4,556"
Main-TheMigration,0.0011,3.15,"7,966"
Main-SwiperNoSwiping,0.0011,3.28,"1,628"
Main-XMustNotWin,0.0011,3.15,"6,020"
Main-IHitYouYouHitTheGround,0.0011,3.23,"2,579"
Main-ConceptsAreCheap,0.0011,2.99,"9,893"
Main-WakingUpElsewhere,0.0011,3.25,"2,394"
Main-ThePawn,0.0011,3.18,"1,850"
