,indices_4random_28,indices_4random_14,indices_4random_1,indices_4random_15,indices_4random_29,indices_4random_17,indices_4random_2,indices_4random_3,indices_4random_16,indices_4random_12,indices_4random_7,indices_4random_6,indices_4random_13,indices_4random_11,indices_4random_39,indices_4random_4,indices_4random_5,indices_4random_38,indices_4random_10,indices_4random_42,indices_4random_43,indices_4random_41,indices_4random_40,indices_4random_35,indices_4random_21,indices_4random_8,indices_4random_9,indices_4random_20,indices_4random_34,indices_4random_22,indices_4random_36,indices_bigfour_forcomparison,indices_4random_37,indices_4random_23,indices_4random_27,indices_4random_33,indices_4random_32,indices_4random_26,indices_4random_30,indices_4random_24,indices_4random_18,indices_4random_19,indices_4random_25,indices_4random_31
NumberNodes,67,136,129,156,84,122,40,90,135,93,68,72,105,66,172,35,69,168,80,54,80,35,221,315,150,124,155,106,108,130,163,20,163,114,134,314,112,65,149,80,70,194,194,192
NumberEdges,399,1234,1050,1638,418,1025,119,546,1413,590,282,492,817,484,2497,126,515,1695,527,243,351,107,3509,7014,1541,980,1909,859,493,1411,2016,33,2046,1093,1288,5995,622,252,1564,483,397,2940,1995,2843
NumberIsolates,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
IsEulerian,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GlobalEfficiency,0.5702924770089,0.5517519970951436,0.5404655200258222,0.5533705541770279,0.5025291642761595,0.5492367791175373,0.49113247863248183,0.5464835622139017,0.5650267182605596,0.5378681626928556,0.5050117061750046,0.5674556598852433,0.5554395604395577,0.568065268065268,0.5783467065596932,0.5641456582633059,0.5809889173060564,0.5441735576466358,0.5491297468354503,0.547274633123685,0.5151582278481075,0.5094437775110064,0.5631050322226612,0.5654584976241488,0.5511782252050793,0.5454694466299315,0.5727970953777518,0.5538185085354788,0.45729491173415826,0.5738223017292835,0.5630475397006008,0.446929824561404,0.5680464035951539,0.5710810950680485,0.5545206299330475,0.5502533525976643,0.5189832689832619,0.49790865384614363,0.5585132111977823,0.5525896624472623,0.5503105590062121,0.5717910368035829,0.5448159820522329,0.5725258144269749
Diameter,4,4,4,4,5,4,,4,3,4,4,,5,,3,4,,4,4,5,5,7,4,4,4,4,4,4,,4,4,,4,,,3,4,5,3,6,4,4,4,4
Radius,3,2,3,2,3,2,,3,2,2,3,,3,,2,3,,2,3,3,3,4,2,2,2,3,2,2,,2,2,,2,,,2,2,3,3,3,2,2,2,2
NodeConnectivity,1,1,3,4,1,2,,1,2,3,1,,1,,3,3,,3,2,1,1,1,1,4,2,1,2,1,,3,2,,4,,,5,2,1,3,1,2,1,1,2
